Question,A,B,C,D,E
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Gentle   ,B) Gaze   ,C) Gate  ,D) Garden,E) Geese
 7. Aнтонимoм  слова “Day”является : ,A) Night,B) Afternoon,C) Evening,D) Midday,E) Morning
 8. Выберите правильный вариант предлога: Go … reading the story. I want to know its end. ,A) Through.,B) On.,C) Out.,D) About.,E) In. 
 9. К теме Село относится слово: ,A) Rainy.,B) Supper.,C) Harvest.,D) Swimmer.,E) Break. 
10. Дополните пословицу: Live and … ,A) Earn.,B) Learn.,C) Live.,D) Think.,E) Love. 
11. Выберите верное местоимение: I saw them . This is … cat . ,A) me,B) yours,C) ours,D) him,E) their 
12. Найдите правильный вариант глагола: The children … sometimes absolutely naughty. ,A) am,B) is,C) does,D) are,E) was
13. Выберите правильно построенное предложение: ,A) I hoped that I should find him at school.,B) I hoped that I shall find him at school.,C) I hoped that I will find him at school.,D) I hoped that I would found him at school.,E) I hoped that I should found him at school. 
14. Определите функцию инфинитива в следующем предложении: He forgot to do his homework when he was at home.  ,A) определение,B) подлежащее,C) дополнение ,D) сказуемое ,E) обстоятельство
15. Переведите “To be good at… ”  ,A) Быть преуспевающим,B) Быть прилежным,C) Быть хорошо воспитанным,"D) Хорошо разбираться, знать что-либо",E) Быть образованным
"16. Найдите прилагательное, имеющее отрицательное значение: ",A) dependent ,B) indefinite ,C) useful ,D) understandable,E) regular
17. Вставьте нужное указательное местоимение в предложении: Look! ... men in the street are my friends. ,A) Which,B) This,C) These,D) Whose,E) That
18. Выберите правильный вариант вопросительного местоимения: By … is this book written? ,A) Who.,B) Whose.,C) Whom.,D) What.,E) Which. 
19. Выберите правильный вариант сказуемого: Amos … a present to his mother. ,A) Send.,B) Were sent.,C) Sent.,D) Is sends.,E) Are sending. 
20. Найдите правильный вариант глагола:   `What … you … at?`  `A strange  bird. Look! It’s quite near us.` ,A) has / looked,B) are / looking,C) did / look,D) is / looking,E) do / look
21. Выберите глагол в форме Present Perfect Active: ,A) Have does.,B) Have doing.,C) Have done.,D) Have do.,E) Have did. 
22. Выберите верный вариант общего вопроса к предложению: Everything used to be different many years ago. ,A) Use everything to be different many years ago?,B) Used everything be different many years ago?,C) Did everything used to be different many years ago?,D) Use everything to was different many years ago?,E) Did everything use to be different many years ago? 
23. Определите название формы по приведенному примеру: Drinking. ,A) Participle 2.,B) Gerund.,C) Indefinite Infinitive Active.,D) Progressive Infinitive .,E) Infinitive Passive. 
"24. Прочитайте текст, выберите правильный ответ на вопрос: Charles has just entered school. “What is your name?” the teacher asked. “Charles”, was the answer. “Charles what?” the teacher questioned. “Oh, that’s all right,” the boy said, “”just call me Charles.” What has happened to Charles? ",A) He entered the school by the side door.,B) He has been attending school for some months.,C) He has done the first homework.,D) He has become a pupil.,E) He doesn’t want to enter school. 
25. Образуйте новое слово от  “hope” c помощью следующих суффиксов.   ,A) Ism.,B) Able.,C) Tion.,D) Ly.,E) Ful. 
26. Выберите правильную форму глагола в страдательном залоге: A delicious cake (to taste) by him now. ,A) Is tasted.,B) Was being tasted.,C) Has been tasted.,D) Was tasted.,E) Is being tasted. 
27. Заменитe выделенное модальное выражение его эквивалентом:  The conference is to begin next Tuesday ,A) might,B) must,C) should ,D) could ,E) can
28. Выберите правильный вариант перевода на английский язык: Много деревьев было во дворе. ,A) Many trees were in the yard. ,B) There are many trees in the yard.,C) Many trees are in the yard. ,D) There is many trees in the yard.,E) There are no trees in the yard. 
