question,answer
ақын импровизаторлардың сайыс ,айтыс 
ақыртас 7 8ғ салын кезең ,қарлұқтар кезеңі 
ақыртас vіі vіііғ салын кезен ,қарлұқтар кезені
ақыртас ғимарат салын баста кезең ,vіі ғ қарлұқ
ақыртас ғимарат салын баста кезең ,қарлұқ қағанатының кезінде
алаш аңызы айтыл үш жүзді негіз қалаға ,үйсін болат алшын
алаш зиялы бірі ,ж аймауытов
алаш қозға бой көрсе баста ,1905 жылдан
алаш қозға белсе қайраткер ,ә бөкейханов а байтүрсынов 
алаш орданы орнал жерін көрсе ,орынбор 
алаш парти бағда жобасы жария газет ," қазақ "
алаш парти бағда жобасы жария ," қазақ газетінде "
алаш парти мүшел шығар жария рұқсат беріл ,1980 жылдары 
алаш парти құрушылар ,ә бөкейханова байтұрсынов
алаш парти кешірім жария ,бүкілресейлік орталық атқару комитет
алаш парти бағда ,10 бөлімнен тұрып қазақ газетінде жарияланды 
алаш парти бағда қай газет жарық көрді ," қазақ "
алаш парти бағда бөлім саны ,10
алаш сөзі шамамен алғаш рет айтыл ,іx x ғасырлар аралығында
